value,date
,1
,2
1.4608695652173913,3
1.340085287846482,4
1.3438572409059713,5
1.2328629032258065,6
,7
,8
,9
,10
,11
1.0,12
,1
,2
,3
1.4715447154471544,4
1.3678968951376684,5
1.316588785046729,6
1.3064440263405457,7
1.2713152676801058,8
1.2794631366059936,9
1.3058391180073499,10
1.3088849135360763,11
1.3104456661597847,12
1.3163841807909604,1
1.3139660772284374,2
1.3255749515101136,3
1.3132390319372307,4
1.2985837438423646,5
1.2853807335994578,6
1.3024482109227873,7
1.309703433922997,8
1.3013370332996972,9
1.2818577648766327,10
1.292523771052141,11
1.281822408182241,12
1.2949353772167118,1
1.2985587284482758,2
1.2949173932996787,3
1.2827990680485257,4
1.3123324396782843,5
1.3029659611173778,6
1.3118164128027914,7
1.3012099644128114,8
1.2964680989583333,9
1.3207098309007907,10
1.3358278145695364,11
1.3355695693009526,12
1.3232088051645676,1
1.3263017863930064,2
1.3330684677526154,3
1.321359715880264,4
1.3100519401161015,5
1.3164031976918915,6
1.3175838428756717,7
1.3509615384615385,8
1.3080808080808082,9
1.3636363636363635,10
,11
,12
